id,name,weight,height,experience,active,status,position,age,team,stats_log,url
3124964,Marcus Green,191.0,68.0,1,True,FA,1,28.0,21,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3124964?lang=en&region=us
4429153,Tulu Griffin,180.0,70.0,0,True,FA,1,23.0,5,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4429153?lang=en&region=us
4383163,Taylor Grimes,188.0,71.0,0,True,FA,1,24.0,7,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4383163?lang=en&region=us
4241988,Trevon Grimes,218.0,76.0,0,True,FA,1,,21,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4241988?lang=en&region=us
4362706,Stephen Guidry,201.0,75.0,0,True,FA,1,27.0,6,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4362706?lang=en&region=us
3932430,Jalen Guyton,212.0,73.0,5,True,Practice Squad,1,27.0,13,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3932430?lang=en&region=us
4242391,Robert Hainsey,306.0,76.0,4,True,Active,4,26.0,27,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4242391?lang=en&region=us
5143805,John Hall,194.0,75.0,0,True,FA,1,26.0,26,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/5143805?lang=en&region=us
4244727,Justin Hall,189.0,68.0,0,True,FA,1,25.0,16,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4244727?lang=en&region=us
2578369,Marvin Hall,190.0,70.0,5,True,FA,1,31.0,30,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/2578369?lang=en&region=us
2581464,Rannell Hall,200.0,73.0,2,True,FA,1,31.0,5,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/2581464?lang=en&region=us
3057987,DaeSean Hamilton,206.0,73.0,5,True,FA,1,29.0,15,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3057987?lang=en&region=us
4240380,KJ Hamler,178.0,69.0,4,True,Practice Squad,1,25.0,2,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4240380?lang=en&region=us
4034944,Josh Hammond,194.0,72.0,1,True,FA,1,26.0,7,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4034944?lang=en&region=us
3912558,De'Quan Hampton,225.0,76.0,1,True,FA,1,30.0,26,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3912558?lang=en&region=us
3915139,Jake Hanson,303.0,76.0,4,True,Active,4,27.0,20,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3915139?lang=en&region=us
4035004,Mecole Hardman,187.0,70.0,6,True,Active,1,26.0,12,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4035004?lang=en&region=us
4608171,DeAngelo Hardy,197.0,74.0,0,True,FA,1,,33,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4608171?lang=en&region=us
4240625,Mike Harley Jr.,180.0,70.0,1,True,FA,1,26.0,15,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4240625?lang=en&region=us
3045286,Sean Harlow,284.0,76.0,4,True,Day-To-Day,4,29.0,15,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3045286?lang=en&region=us
4036163,Kelvin Harmon,215.0,74.0,2,True,Practice Squad,1,27.0,6,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4036163?lang=en&region=us
4573845,Devron Harper,175.0,69.0,0,True,FA,1,,16,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4573845?lang=en&region=us
4360818,Tyler Harrell,190.0,72.0,0,True,FA,1,24.0,20,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4360818?lang=en&region=us
4374496,DeMichael Harris,178.0,68.0,2,True,FA,1,26.0,11,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4374496?lang=en&region=us
14100,Dwayne Harris,215.0,70.0,10,True,FA,1,37.0,3,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/14100?lang=en&region=us
3932144,Jacob Harris,211.0,77.0,3,True,FA,1,27.0,21,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3932144?lang=en&region=us
5125342,Keilahn Harris,180.0,72.0,1,True,FA,1,23.0,23,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/5125342?lang=en&region=us
4039016,Nick Harris,293.0,73.0,5,True,Day-To-Day,4,25.0,5,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4039016?lang=en&region=us
