id,team_id,season_id,category,name,value,perGameValue,rank
bb2453e0-568c-4eac-b6a3-5f9affc34ad5,22,2024,rushing,avgGain,596.707,,11.0
239167c8-6bf5-4a43-a146-ce5b1609dc97,22,2024,rushing,ESPNRBRating,921.0,,18.0
4e369ae7-778e-4c01-8ff5-e1ba4e526808,22,2024,rushing,longRushing,50.0,,8.0
660e438b-2d7d-4976-8d64-3bbeb682bd30,22,2024,rushing,miscYards,0.0,,1.0
3483dec6-1864-4d25-b5cd-09f868c98ba8,22,2024,rushing,netTotalYards,1993.0,,24.0
ff6e2878-ac70-4b01-8889-ed89125b4b42,22,2024,rushing,netYardsPerGame,332.16666,,14.0
c59e464d-46f1-4723-939a-4a7a9c2d57fe,22,2024,rushing,rushingAttempts,164.0,,20.0
436ec30b-2c9b-47be-98b5-8221ab53bfc7,22,2024,rushing,rushingBigPlays,9.0,,2.0
2ec56481-a0fc-48b9-835f-6723f9153af9,22,2024,rushing,rushingFirstDowns,49.0,,13.0
e78bc9ed-8b6b-40f3-8bb1-340fbedefdbc,22,2024,rushing,rushingFumbles,9.0,,2.0
4d6760bf-9ec5-400d-9bdc-8add19a88173,22,2024,rushing,rushingFumblesLost,1.0,,7.0
9489545d-e301-4277-8bb8-b8dd38927362,22,2024,rushing,rushingTouchdowns,4.0,,23.0
ddfec7f1-776d-4af5-b1c2-bf4e0a3f9be0,22,2024,rushing,rushingYards,871.0,,8.0
97f0c77c-5599-4826-978b-988bb57b9293,22,2024,rushing,rushingYardsPerGame,145.167,,7.0
0bac2d55-55e0-4065-b0bc-ad27b093457a,22,2024,rushing,stuffs,17.0,,24.0
923deaa3-d916-4f85-aa4f-7dc09987f647,22,2024,rushing,stuffYardsLost,-32.0,,10.0
b2bba018-1b0a-475d-b4c0-3e58dcfdba5a,22,2024,rushing,teamGamesPlayed,6.0,,20.0
2f2bab79-235c-4fab-9e20-46dddf39c57f,22,2024,rushing,totalOffensivePlays,345.0,,16.0
a5ac147c-3977-432b-a0ff-4e03a92d266f,22,2024,rushing,totalPoints,133.0,,21.0
3a6e1154-b71b-4599-82b0-0ce46b3c16df,22,2024,rushing,totalPointsPerGame,22.167,,18.0
3530278d-a69f-41b3-a427-67d9bcc5ad8b,22,2024,rushing,totalTouchdowns,14.0,,21.0
9ec96e0f-7082-417d-a0d0-fa77b84f9feb,22,2024,rushing,totalYards,2057.0,,24.0
be32690f-91ac-498f-b826-929ace380b25,22,2024,rushing,totalYardsFromScrimmage,2057.0,,1.0
bbca4bd5-5848-41ca-a831-effad2b2eeee,22,2024,rushing,twoPointRushConvs,0.0,,1.0
2ae1025f-e249-4d1d-95bd-752a18c185ee,22,2024,rushing,twoPtRush,2.0,,1.0
b2504f76-43d6-4eff-a314-531ab203ec3d,22,2024,rushing,twoPtRushAttempts,2.0,,1.0
86e44e23-7ddc-419a-b74e-df053b9cccbc,22,2024,rushing,yardsFromScrimmagePerGame,342.83334,,16.0
7fdc5572-be29-4379-af43-15140dbfc599,22,2024,rushing,yardsPerGame,342.833,,16.0
dc394348-ee97-482e-9523-087e09c011d3,22,2024,rushing,yardsPerRushAttempt,5.311,,2.0
cbc738fb-d762-4a13-b47f-0a60c91371f4,22,2024,receiving,avgGain,596.707,,11.0
8e7d1e16-2726-4e45-845f-7852899b16cb,22,2024,receiving,ESPNWRRating,2046.0,,29.0
5ef8b79b-e54c-4830-8b93-ed8345c7d6aa,22,2024,receiving,longReception,60.0,,16.0
325763d6-9cc8-454d-8eb3-a03927146d69,22,2024,receiving,miscYards,0.0,,1.0
f2db64e4-0ec5-4ecf-9f66-8eb498db1920,22,2024,receiving,netTotalYards,1993.0,,24.0
2f91ba26-1447-4083-8e95-9699350e5a0d,22,2024,receiving,netYardsPerGame,332.16666,,14.0
b26a3baf-1750-43fb-959f-0e494541a91b,22,2024,receiving,receivingBigPlays,14.0,,25.0
394bffd4-1c50-4f91-ac79-296e90ad3d6c,22,2024,receiving,receivingFirstDowns,52.0,,29.0
7c37e4a1-0294-4498-862c-0a2fbcf8a86a,22,2024,receiving,receivingFumbles,4.0,,8.0
e94798ee-e7c0-4c6d-9ee3-153773dbe8f9,22,2024,receiving,receivingFumblesLost,4.0,,1.0
9dbed93d-8cc9-4f68-aeb6-95405d693c57,22,2024,receiving,receivingTargets,170.0,,28.0
dd942576-9b1c-4351-965a-f11388363ede,22,2024,receiving,receivingTouchdowns,8.0,,16.0
fd7d4e8b-a807-4b8d-9828-bbb1acae99c7,22,2024,receiving,receivingYards,1186.0,,30.0
47bb1f76-f452-4dae-81a7-85f9fcd381fb,22,2024,receiving,receivingYardsAfterCatch,518.0,,30.0
e7336766-4820-461b-b321-7925e0ee6413,22,2024,receiving,receivingYardsAtCatch,668.0,,21.0
bf57046c-d6d4-479d-b951-8edc90f276fd,22,2024,receiving,receivingYardsPerGame,197.667,,26.0
e96d9bb8-8fd8-4de7-a97c-fd774d95384f,22,2024,receiving,receptions,116.0,,28.0
8d63dbc5-1b89-4350-8d01-66f25377661b,22,2024,receiving,teamGamesPlayed,6.0,,20.0
7eedac26-5d84-46ad-ab13-a83993b89fce,22,2024,receiving,totalOffensivePlays,345.0,,16.0
a42798aa-f03f-477c-abd2-48c221966e05,22,2024,receiving,totalPoints,133.0,,21.0
a664a784-a789-4524-9f39-6eac91b1bbff,22,2024,receiving,totalPointsPerGame,22.167,,18.0
87435eca-f1e8-4c99-bc6b-7ba9a8599b9e,22,2024,receiving,totalTouchdowns,14.0,,21.0
