id,name,abbreviation,week,year,home,away,url,pbp_url
401671668,Steelers v Broncos,PIT v DEN,2,2024,7,23,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671668,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671668/competitions/401671668/plays?limit=300
401671670,Bengals v Chiefs,CIN v KC,2,2024,12,4,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671670,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671670/competitions/401671670/plays?limit=300
401671691,Falcons v Eagles,ATL v PHI,2,2024,21,1,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671691,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671691/competitions/401671691/plays?limit=300
401671808,Patriots v Jets,NE v NYJ,3,2024,20,17,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671808,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671808/competitions/401671808/plays?limit=300
401671855,Giants v Browns,NYG v CLE,3,2024,5,19,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671855,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671855/competitions/401671855/plays?limit=300
401671823,Packers v Titans,GB v TEN,3,2024,10,9,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671823,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671823/competitions/401671823/plays?limit=300
401671865,Bears v Colts,CHI v IND,3,2024,11,3,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671865,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671865/competitions/401671865/plays?limit=300
401671736,Eagles v Saints,PHI v NO,3,2024,18,21,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671736,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671736/competitions/401671736/plays?limit=300
401671632,Chargers v Steelers,LAC v PIT,3,2024,23,24,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671632,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671632/competitions/401671632/plays?limit=300
401671741,Broncos v Buccaneers,DEN v TB,3,2024,27,7,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671741,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671741/competitions/401671741/plays?limit=300
401671658,Panthers v Raiders,CAR v LV,3,2024,13,29,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671658,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671658/competitions/401671658/plays?limit=300
401671662,Dolphins v Seahawks,MIA v SEA,3,2024,26,15,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671662,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671662/competitions/401671662/plays?limit=300
401671772,49ers v Rams,SF v LAR,3,2024,14,25,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671772,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671772/competitions/401671772/plays?limit=300
401671771,Lions v Cardinals,DET v ARI,3,2024,22,8,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671771,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671771/competitions/401671771/plays?limit=300
401671793,Chiefs v Falcons,KC v ATL,3,2024,1,12,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671793,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671793/competitions/401671793/plays?limit=300
401671682,Jaguars v Bills,JAX v BUF,3,2024,2,30,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671682,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671682/competitions/401671682/plays?limit=300
401671812,Cowboys v Giants,DAL v NYG,4,2024,19,6,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671812,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671812/competitions/401671812/plays?limit=300
401671727,Saints v Falcons,NO v ATL,4,2024,1,18,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671727,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671727/competitions/401671727/plays?limit=300
401671643,Vikings v Packers,MIN v GB,4,2024,9,16,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671643,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671643/competitions/401671643/plays?limit=300
401671867,Steelers v Colts,PIT v IND,4,2024,11,23,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671867,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671867/competitions/401671867/plays?limit=300
401671622,Broncos v Jets,DEN v NYJ,4,2024,20,7,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671622,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671622/competitions/401671622/plays?limit=300
401671740,Eagles v Buccaneers,PHI v TB,4,2024,27,21,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671740,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671740/competitions/401671740/plays?limit=300
401671745,Bengals v Panthers,CIN v CAR,4,2024,29,4,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671745,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671745/competitions/401671745/plays?limit=300
401671755,Commanders v Cardinals,WSH v ARI,4,2024,22,28,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671755,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671755/competitions/401671755/plays?limit=300
401671758,Patriots v 49ers,NE v SF,4,2024,25,17,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671758,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671758/competitions/401671758/plays?limit=300
401671672,Browns v Raiders,CLE v LV,4,2024,13,5,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671672,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671672/competitions/401671672/plays?limit=300
401671674,Chiefs v Chargers,KC v LAC,4,2024,24,12,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671674,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671674/competitions/401671674/plays?limit=300
401671783,Bills v Ravens,BUF v BAL,4,2024,33,2,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671783,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671783/competitions/401671783/plays?limit=300
401671491,Seahawks v Lions,SEA v DET,4,2024,8,26,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671491,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671491/competitions/401671491/plays?limit=300
401671815,Buccaneers v Falcons,TB v ATL,5,2024,1,27,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671815,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671815/competitions/401671815/plays?limit=300
401671804,Jets v Vikings,NYJ v MIN,5,2024,16,20,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671804,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671804/competitions/401671804/plays?limit=300
401671872,Panthers v Bears,CAR v CHI,5,2024,3,29,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671872,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671872/competitions/401671872/plays?limit=300
401671626,Ravens v Bengals,BAL v CIN,5,2024,4,33,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671626,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671626/competitions/401671626/plays?limit=300
401671718,Browns v Commanders,CLE v WSH,5,2024,28,5,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671718,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671718/competitions/401671718/plays?limit=300
401671633,Colts v Jaguars,IND v JAX,5,2024,30,11,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671633,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671633/competitions/401671633/plays?limit=300
401671859,Bills v Texans,BUF v HOU,5,2024,34,2,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671859,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671859/competitions/401671859/plays?limit=300
401671747,Raiders v Broncos,LV v DEN,5,2024,7,13,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671747,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671747/competitions/401671747/plays?limit=300
401671756,Cardinals v 49ers,ARI v SF,5,2024,25,22,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671756,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671756/competitions/401671756/plays?limit=300
